id,source_id,source_locator,donor_fact,bithkuil_disposition,depends_on,engineering_stage,implementation_status,acceptance_test
G00,S01,Chapter 3; slot overview,Root and grammatical morphology contribute distinct semantic material.,"Separate root identity, feature tuple, relation role and scope in typed AST.",F00,E0,SPECIFIED,Reject root/features flattened into one unconstrained text field.
G01,S01,3.1 Configuration,"Configuration distinguishes arrangements involving number, similarity and connection.","First configuration-inspired family uses cardinality, color uniformity and induced-graph connectivity. These are task choices, not exhaustive donor meanings.","F00,F01",E1,IMPLEMENTED_SUBSET,All eight three-node graphs and all nonempty subsets agree between independent evaluators.
G02,S01,3.2 Affiliation,Affiliation concerns functional relationships among members.,Keep affiliation separate from cardinality and graph edges. Future world needs jointly specified purposes and role relations.,"G01,G11",E4,DEFERRED,Same graph with different functional coordination must remain representationally distinguishable.
G03,S01,3.3 Perspective,"Monadic, agglomerative, nomic and abstract perspective are not simply singular/plural alternatives.",Introduce group-view scope later; do not label the current integer count as Perspective.,"G01,F02",E4,DEFERRED,A multi-member object can retain monadic treatment; scope tests must cover this.
G04,S01,3.4 Extension,Extension differentiates the portion or phase of a referent under consideration.,Require temporal/part structure before mapping extensions into targets.,"F02,G15",E5,DEFERRED,Snapshot identity is insufficient to prove extension equivalence.
G05,S01,3.5 Essence,Essence distinguishes normal from representative reference.,"Add explicit referential interpretation, not an ungrounded real/imaginary binary.","G03,G22",E5,DEFERRED,Representative relation must bind to a referent with provenance.
G06,S01,"Function, Specification, Context; slots IV/VI",These categories and the CA complex occupy distinct formative functions.,Maintain independent schema namespaces; no ad hoc CA bundle used as an answer token.,G00,E4,SPECIFIED,Typed-field confusion and missing-default tests.
G07,S02,Chapter 4; case categories,Cases encode relations and roles beyond a single generic edge.,"Extend Relation with role, source, target and frame; reject implicit nearest-noun binding.","F00,F02",E4,SPECIFIED,Round-trip role swaps and arity changes must preserve or reject meaning explicitly.
G08,S02,4.4.1 Applicative,Applicative concerns contextual use rather than inherent intended function.,"APL(entity,value) compares the finite-world actual-use field.",F00,E1,IMPLEMENTED_SUBSET,Change actual use only; PUR result must remain unchanged.
G09,S02,4.4.2 Purposive,Purposive concerns dedicated or intended purpose.,"PUR(entity,value) compares the separately declared intended-purpose field.",F00,E1,IMPLEMENTED_SUBSET,Change intended purpose only; APL result must remain unchanged.
G10,S02,Case frames and relational cases,A case label has a relational interpretation within its construction.,Compile role-bearing frames before broad lexical expansion; do not treat all cases as interchangeable unary attributes.,G07,E4,SPECIFIED,Frame validation must reject dangling role bindings and wrong argument types.
G11,S03,Chapter 5; Valence,Valence modifies participation structure.,Future event AST needs participants and participation relations before valence teaching.,"G07,F02",E5,DEFERRED,Swap actor/participant without changing event identity and test expected contrast.
G12,S03,Chapter 5; Phase/Aspect,Temporal categories convey event structure.,Use finite event traces with an independently executable temporal oracle.,"F02,G11",E5,DEFERRED,Pointwise labels must not substitute for interval truth.
G13,S03,Chapter 5; Mood,Mood distinguishes factuality and presuppositional stance.,Separate speaker commitment/presupposition metadata from world truth and probability.,"G10,G18",E5,SPECIFIED,Changing mood alone must not alter the same world proposition oracle.
G14,S03,Chapter 5; Case-scope,Case-scope affects the interpretation of relationships in connected material.,"Scope becomes explicit AST edges, not undocumented sequence adjacency.","G10,F02",E4,SPECIFIED,Nested-frame minimal pairs and dangling-scope rejection.
G15,S03,Chapter 5; Effect/Level,Effect and Level are distinct grammatical categories.,"Do not merge scalar level, participant impact and event phase into a numeric intensity coordinate.","G11,G12",E5,DEFERRED,Each coordinate must have a distinct controlled world intervention.
